gene	BMDM_UT_0	BMDM_UT_1	BMDM_UT_1.1	BMDM_UT_1.2	BMDM_UT_1.3	BMDM_PAM_1	BMDM_PAM_3	BMDM_PAM_8	BMDM_PIC_1	BMDM_PIC_3	BMDM_PIC_8	BMDM_LPS_1	BMDM_LPS_3	BMDM_LPS_8	BMDM_FLA_1	BMDM_FLA_3	BMDM_FLA_8	BMDM_FSL_1	BMDM_FSL_3	BMDM_FSL_8	BMDM_R848_1	BMDM_R848_3	BMDM_R848_8	BMDM_CPG_1	BMDM_CPG_3	BMDM_CPG_8	BMDM_TNF_1	BMDM_TNF_3	BMDM_TNF_8	BMDM_IFNB_1	BMDM_IFNB_3	BMDM_IFNB_8	BMDM_MCMV_1	BMDM_MCMV_3	BMDM_MCMV_8	BMDM_VSV_1	BMDM_VSV_3	BMDM_VSV_8	BMDM_STREP_1	BMDM_STREP_3	BMDM_STREP_8	BMDM_LM_1	BMDM_LM_3	BMDM_LM_8	BMDM_Trans_PIC_1	BMDM_Trans_PIC_3	BMDM_Trans_PIC_8
Ythdf1	5.76664137929556	5.86648726961576	5.76059561747998	5.70630272043412	5.7331799096524	5.9127488444954	6.02632364894202	6.17030347610274	5.83603862238175	7.73740510150055	7.36034883901455	5.96579725736057	8.22017118487143	7.37574201627849	5.85227596334024	5.77964303350528	5.85889591199546	5.87199620094541	5.98465602161984	6.12833077882412	5.81375304581034	6.11400519558819	6.16386880537671	5.95722099797489	6.2117856669599	6.0671749291153	5.88661043193635	5.96297588296354	5.9688220866162	6.51392524239874	7.96626280262728	7.59002214333998	5.88107049860212	5.94012161804525	7.05755101667723	5.80166475484456	7.31950410503038	7.8418823433877	5.74999851415603	6.23944304334955	5.97844068566033	5.86735388712714	5.95008443019986	5.95627063603366	5.53368067905366	7.87295212441141	7.16405467918812
Zcchc2	5.81652313732764	5.70764052771773	5.83736301061187	5.8290953651147	5.89199364586625	5.85973801413414	4.90658129670527	6.05805193518709	5.98456388093437	8.87240559252069	7.24869022080929	6.25791731126949	9.24336235260702	7.98482726218715	5.92190828503175	4.99185140575387	5.86518368659778	5.83414562057079	4.93586356589343	6.20701242472256	5.79031219117204	5.17251117520324	6.18637110574765	6.12565589890598	5.65762613454461	6.178084759295	5.82635813388179	4.69682828539852	6.20120097597338	7.01884047318023	8.66687339494397	7.34080530677044	6.01832746129848	5.54783921355814	7.09268057894166	5.99609333489869	8.04336075038515	8.32648373342607	6.10769444207153	6.03801848677104	6.43661912785111	5.82621452248638	5.40217982442682	6.26830871606959	6.02206803277904	9.22402603810578	7.98150384892226
Shfl	3.53587230924918	3.33067672031166	3.30579046611518	3.91682096077225	3.59020108979763	2.82775639921716	2.97652344526432	2.69220211756797	3.17134332686503	5.05510578060301	5.67513844337347	3.13413114809592	5.0441451704909	4.81762895991461	3.21885848823427	3.04750037333682	3.17970214986433	3.16381335071347	3.01949138625769	2.62395186707306	3.18722053807616	2.60083273824999	1.87341843256489	3.09170121956964	2.22192323253429	2.70988488633239	3.42804647829308	3.14513570023777	3.56886608170776	3.91447390376578	4.77493368656962	5.41262617994313	3.71226485747972	3.40314472589749	5.04572402011239	3.60304456017989	4.46141302350807	5.88011359666159	3.41245038960475	3.11534482014624	2.67365983302397	3.24159143301191	3.22180433158828	2.82202798552488	3.90824956816099	5.70987099221921	5.67442025988211
Ctu1	2.98388932523664	3.12601708637666	3.07164337782353	2.83651056481859	2.90138627192777	4.00034617042556	5.08726278303663	5.03120671253731	2.93212370789167	2.30985504467936	3.49837022602708	3.60996338525404	3.72118747888452	3.95792868667306	4.14347003934569	4.15185949809213	3.93519786453087	3.88512963115083	4.9584571208907	4.90582336339219	3.80671759065357	4.92486186159996	5.0784244837277	3.51092780233043	4.9652062222477	4.86210344447643	3.66477437056166	4.06120199575561	3.30507378975323	2.48520969865353	2.00432013564592	1.95490954639941	2.67890261954082	2.72206686336555	2.52548224803639	2.62604334183288	3.04147595849234	3.02748956102582	3.81423690391171	4.45241470605405	4.5044474477199	3.62045340732821	4.42989462263237	4.86373933743846	2.87924162004284	2.24742660722352	3.19266204880511
Irs2	3.98395981964804	3.60309631188801	3.71025227001873	4.18885493943264	4.43363575725278	5.84397573265354	2.08633393898725	1.87169161900501	6.20858825251584	1.04403850383545	0.84187621916987	6.15254025774537	2.05806431503466	1.17214271101295	5.4630571896637	2.38063618651893	2.57737769827546	6.04488861273459	2.03766112832265	1.49420604250375	6.53468684079404	2.62181756014512	1.91320871539892	6.0318274058714	2.74006002370083	1.91507997510236	5.13119127016067	1.45612593474953	1.75685417441627	4.59595156667675	1.24433242837183	0.677492491593505	4.83965937922322	2.59415599797156	1.49018525186723	4.90823627457543	2.26831178384928	2.73477874941369	6.34508639691427	3.59070661315293	3.10480967318181	5.58194660253719	2.42613084582551	2.06208425334982	5.32317175243223	3.26792018375337	3.63631157074151
Plcl2	5.67752205688729	5.64142415188079	5.7222440062181	5.68360885413213	5.66281121531812	5.82981876402101	4.83587312271652	5.15860965900299	5.65619989097154	7.09632921352636	7.36343753067521	5.64751434735891	7.53955678540607	7.05652746580016	5.59758435188952	4.87581661323065	5.37181669817751	5.80834870054422	4.58393259862906	5.11536611837167	5.83808981462312	5.02277820369838	4.94562068311027	5.7620009077885	5.2098467867691	5.14423833355377	5.90480906499022	5.24334093972121	5.77972431144042	5.98466393895129	6.92348869983258	6.98031926766129	5.72377771638957	4.97346187343889	6.4458248308268	5.71906240008843	5.73082367106548	8.08666612131462	5.62348178460406	5.38575859642027	4.95700362672767	5.84058821317513	4.43390002398117	4.68144161835671	5.63638823812005	7.58108295116596	7.96058434639596
Itga9	1.71779982851573	1.65732996346923	1.92034917921857	1.75785193785208	1.53566823352304	2.21592481313428	4.27407472377278	4.33573706614386	2.34113049673362	3.96146120343576	1.59692088839638	1.78668902330101	3.73395107366182	4.79826172066498	2.32176293523547	4.03168093264876	2.79323555316369	1.96596715695022	4.32047386096368	4.5530252010876	1.97125496501487	4.28449893683876	5.40928504565623	2.47657229847837	4.25870650140273	5.54619157466076	2.17145305261412	3.08711249441911	0.637138077279561	2.33227689066886	2.42789708563878	1.71262159584673	2.02787915176121	2.50211292103263	2.00554997184406	1.88815502088859	2.84030714274459	1.36765729109461	2.18317136959203	3.46869416767222	4.74682806851693	1.79150742627101	3.15543463288333	4.18484979519457	1.70307150700378	2.87987005813963	2.7479030988564
Adgrg6	4.44205792929053	4.21345526266233	4.22637543521676	4.76892772739038	4.55947329189265	4.60567781309436	4.64445041894103	6.68347412980576	4.26829921817375	6.12391082625254	4.16221795991258	4.36897980010671	6.93286314486027	5.22305099172382	4.46178722458409	3.83026392450111	4.65441265513296	4.54654260580915	4.52027191050795	7.10601311675549	4.37101370783361	4.7969306687839	6.80559261736125	4.69724243201224	4.59586577523462	6.65754362757084	4.53585817567118	3.89360133698038	3.80823072251292	4.69337506705769	5.08918805418535	4.20017228469253	4.69095318529699	4.26024890426336	4.53897758925024	4.55659019219921	4.63477894435518	6.3623223553516	4.82242600463298	4.96057640263797	5.85267851251849	4.68615791231546	5.07804600480826	6.71951317648774	4.61164705021494	6.89776607295993	5.24424862324111
Nlrc4	3.83518631303147	3.62548932794331	3.61578155048751	4.02075931606899	4.07871505762605	4.37164970198876	4.67462041086677	5.27566903572694	3.57131683502993	3.92524659907484	4.73921712120748	4.21570499153567	2.98450192195373	4.73175953627738	4.00564964375136	4.33488196829368	4.24007602538251	4.25818439046637	4.7223835284733	5.03347894828759	4.11418511687148	4.65654149069344	5.28209616126176	4.04201123726896	5.02326792558157	5.28419786680988	4.20479780642942	4.94158470983359	5.14345940069804	3.94116584613927	2.90310670764707	3.26764793735652	4.03476556643346	4.53643161525467	4.57186813822358	3.92579546624738	4.854429027896	5.27980931187524	5.03348685620846	5.19174422069178	5.78543213369091	4.75859371511588	4.89548890908875	5.79451734359436	4.3990563660582	4.46774050259743	5.23763898695207
Il18	3.29516621708375	3.05079377985639	3.01988203696486	3.58882286893448	3.52116618257929	3.38750578414872	3.65851190161833	4.42050510944457	3.09944135415842	4.37121858515633	5.80349254135132	3.46544018119792	5.55994855060128	6.16380504257779	3.27412496154993	2.8208105687043	2.63738658663205	3.5536454669764	3.33775791021436	4.18701897277971	3.38100628467897	3.5928769870121	4.57585080509387	3.62407604295024	3.40884997559316	4.33072300162453	3.3710081692022	2.39837222615814	3.14611637831358	3.07295775357976	3.96380854439576	5.39629402172402	3.72724472069098	3.1737750071037	5.6356308846307	3.45210040292038	4.28430500611475	6.07606060713633	3.88749295271933	4.07534709885816	3.52694289428619	3.82705996907324	3.70540947372886	3.6043471176604	3.8547181165512	5.01568691158243	5.67930625359367
