time	stim1	stim2	cc	geneset
3hr	CpG	IFNb	0.995030600468134	7
3hr	CpG	IFNb	0.979730338811305	8
3hr	CpG	IFNb	0.495897828094194	9
3hr	CpG	PIC	0.733919636361963	1
3hr	CpG	PIC	0.257143735548944	2
3hr	CpG	PIC	0.288071074538741	3
3hr	CpG	PIC	0.056762272756855	4
3hr	CpG	PIC	0.23406676847472	5
3hr	CpG	PIC	0.0158837849791788	6
3hr	CpG	PIC	0.523244006475319	7
3hr	CpG	PIC	0.648322064825118	8
3hr	CpG	PIC	0.246969085382837	9
3hr	P3CSK	LPS	0.452520989200602	1
3hr	P3CSK	LPS	0.137064196606593	2
3hr	P3CSK	LPS	0.468247096816266	3
3hr	P3CSK	LPS	0.468883832016101	4
3hr	P3CSK	LPS	0.947104782415338	5
3hr	P3CSK	LPS	0.139774545970459	6
3hr	P3CSK	LPS	0.956662493711251	7
3hr	P3CSK	LPS	0.943188710466488	8
3hr	P3CSK	LPS	0.0826215817123779	9
3hr	P3CSK	TNF	0.682782594822505	1
3hr	P3CSK	TNF	0.0730785073787385	2
3hr	P3CSK	TNF	0.113664233321757	3
3hr	P3CSK	TNF	0.0964195957566276	4
3hr	P3CSK	TNF	0.00181317858881463	5
3hr	P3CSK	TNF	0.00715002334606294	6
3hr	P3CSK	TNF	0.092517509371599	7
3hr	P3CSK	TNF	0.0191977572573538	8
3hr	P3CSK	TNF	0.0484709992452409	9
3hr	P3CSK	IFNb	0.871033563922492	1
3hr	P3CSK	IFNb	0.463523962350489	2
3hr	P3CSK	IFNb	0.705236185058529	3
3hr	P3CSK	IFNb	0.693085197121585	4
3hr	P3CSK	IFNb	0.724837065039695	5
3hr	P3CSK	IFNb	0.407929087615639	6
3hr	P3CSK	IFNb	0.998767138908928	7
3hr	P3CSK	IFNb	0.984071749743161	8
3hr	P3CSK	IFNb	0.452263298492993	9
3hr	P3CSK	PIC	0.723663545593399	1
3hr	P3CSK	PIC	0.212519423053181	2
3hr	P3CSK	PIC	0.243527524625263	3
3hr	P3CSK	PIC	0.0671700454702731	4
3hr	P3CSK	PIC	0.275671493427105	5
3hr	P3CSK	PIC	0.0242198351987354	6
3hr	P3CSK	PIC	0.605680784752921	7
3hr	P3CSK	PIC	0.690857437759214	8
3hr	P3CSK	PIC	0.216186284989649	9
3hr	LPS	TNF	0.912352601402223	1
3hr	LPS	TNF	0.286233114665297	2
3hr	LPS	TNF	0.625270178172484	3
3hr	LPS	TNF	0.675691196832576	4
3hr	LPS	TNF	1	5
3hr	LPS	TNF	0.209594238491957	6
3hr	LPS	TNF	0.962922386211466	7
3hr	LPS	TNF	0.964300230890452	8
3hr	LPS	TNF	0.173404994550274	9
3hr	LPS	IFNb	0.953475969603523	1
3hr	LPS	IFNb	0.614357502628533	2
3hr	LPS	IFNb	0.918740730876507	3
3hr	LPS	IFNb	0.353232019881904	4
3hr	LPS	IFNb	0.218309960127817	5
3hr	LPS	IFNb	0.115851235417225	6
3hr	LPS	IFNb	0.710352677863381	7
3hr	LPS	IFNb	0.65620648143377	8
3hr	LPS	IFNb	0.518936674798195	9
3hr	LPS	PIC	0.914169911328397	1
3hr	LPS	PIC	0.475837087311491	2
3hr	LPS	PIC	0.704548622449509	3
3hr	LPS	PIC	0.489014688236279	4
3hr	LPS	PIC	0.591637001696068	5
3hr	LPS	PIC	0.264439630579543	6
3hr	LPS	PIC	0.524313350104901	7
3hr	LPS	PIC	0.460833084325718	8
3hr	LPS	PIC	0.351775349372479	9
3hr	TNF	IFNb	0.314262803553371	1
3hr	TNF	IFNb	0.369547409756428	2
3hr	TNF	IFNb	0.522306950423285	3
3hr	TNF	IFNb	0.755433097586859	4
3hr	TNF	IFNb	0.760723668140641	5
3hr	TNF	IFNb	0.514025017244478	6
3hr	TNF	IFNb	1	7
3hr	TNF	IFNb	0.999163861666956	8
3hr	TNF	IFNb	0.283569446209252	9
3hr	TNF	PIC	0.0459242011199011	1
3hr	TNF	PIC	0.0854668293636114	2
3hr	TNF	PIC	0.0622462605829335	3
3hr	TNF	PIC	0.100715245831325	4
3hr	TNF	PIC	0.308500569783369	5
3hr	TNF	PIC	0.00701144503008312	6
3hr	TNF	PIC	0.500717657567362	7
3hr	TNF	PIC	0.676135909674687	8
3hr	TNF	PIC	0.0770968614425741	9
3hr	IFNb	PIC	0.160799774460966	1
3hr	IFNb	PIC	0.226561695374228	2
3hr	IFNb	PIC	0.296417415944082	3
3hr	IFNb	PIC	0.555128614877444	4
3hr	IFNb	PIC	0.260562912266357	5
3hr	IFNb	PIC	0.576348662175442	6
3hr	IFNb	PIC	0.934767107672376	7
3hr	IFNb	PIC	0.8069282795137	8
3hr	IFNb	PIC	0.100645704899595	9
8hr	CpG	P3CSK	0.115236835274138	1
8hr	CpG	P3CSK	0.165733975850657	2
8hr	CpG	P3CSK	0.110234202763888	3
8hr	CpG	P3CSK	0.026117696083967	4
8hr	CpG	P3CSK	0.0344429542105857	5
8hr	CpG	P3CSK	0.00424213101757087	6
8hr	CpG	P3CSK	0.0856757807747289	7
8hr	CpG	P3CSK	0.119412762767412	8
8hr	CpG	P3CSK	0.0228521862004093	9
8hr	CpG	LPS	0.218102202122065	1
8hr	CpG	LPS	0.346247825988585	2
8hr	CpG	LPS	0.472643685370216	3
8hr	CpG	LPS	0.278459161720501	4
8hr	CpG	LPS	0.578045549075637	5
8hr	CpG	LPS	0.136950948202172	6
8hr	CpG	LPS	0.506206810416546	7
8hr	CpG	LPS	0.646215735933583	8
8hr	CpG	LPS	0.344898257621745	9
8hr	CpG	TNF	0.539952256683329	1
8hr	CpG	TNF	0.233574887015568	2
8hr	CpG	TNF	0.215612533049434	3
8hr	CpG	TNF	0.216357909408597	4
8hr	CpG	TNF	0.00380312335595671	5
8hr	CpG	TNF	0.00717902991098686	6
8hr	CpG	TNF	0.0991308013166323	7
8hr	CpG	TNF	0.0460880557783161	8
8hr	CpG	TNF	0.155282170619195	9
8hr	CpG	IFNb	0.77894845550124	1
8hr	CpG	IFNb	0.228869909749239	2
8hr	CpG	IFNb	0.602215593202294	3
8hr	CpG	IFNb	0.428901815129179	4
8hr	CpG	IFNb	0.544749130240432	5
8hr	CpG	IFNb	0.393951321843298	6
8hr	CpG	IFNb	0.888687812436482	7
8hr	CpG	IFNb	0.938773174399535	8
8hr	CpG	IFNb	0.905562788630866	9
8hr	CpG	PIC	0.594732638005799	1
8hr	CpG	PIC	0.251671795194533	2
8hr	CpG	PIC	0.356699333084348	3
8hr	CpG	PIC	0.238849232327004	4
8hr	CpG	PIC	0.323492339969706	5
8hr	CpG	PIC	0.0390275971601611	6
8hr	CpG	PIC	0.337864738628767	7
8hr	CpG	PIC	0.5989181885274	8
8hr	CpG	PIC	0.532021258063382	9
8hr	P3CSK	LPS	0.428436262288631	1
8hr	P3CSK	LPS	0.602632999572806	2
8hr	P3CSK	LPS	0.606427413539374	3
8hr	P3CSK	LPS	0.390606817170397	4
8hr	P3CSK	LPS	0.737582139510741	5
8hr	P3CSK	LPS	0.178456986090034	6
8hr	P3CSK	LPS	0.709834919754941	7
8hr	P3CSK	LPS	0.799827185877157	8
8hr	P3CSK	LPS	0.406342656574017	9
8hr	P3CSK	TNF	0.226869038927171	1
8hr	P3CSK	TNF	0.133051685924524	2
8hr	P3CSK	TNF	0.0565229979896979	3
8hr	P3CSK	TNF	0.240175407892517	4
8hr	P3CSK	TNF	0.038147308094598	5
8hr	P3CSK	TNF	0.00375860396217601	6
8hr	P3CSK	TNF	0.116704128354258	7
8hr	P3CSK	TNF	0.101860998460957	8
8hr	P3CSK	TNF	0.0708256097480287	9
8hr	P3CSK	IFNb	0.603507331590244	1
8hr	P3CSK	IFNb	0.145706701100186	2
8hr	P3CSK	IFNb	0.381843445927614	3
8hr	P3CSK	IFNb	0.530838760496347	4
8hr	P3CSK	IFNb	0.704505865510656	5
8hr	P3CSK	IFNb	0.456533848769757	6
8hr	P3CSK	IFNb	0.941462764445476	7
8hr	P3CSK	IFNb	0.958582424744047	8
8hr	P3CSK	IFNb	0.910087078914221	9
8hr	P3CSK	PIC	0.303982743646312	1
8hr	P3CSK	PIC	0.121210305429042	2
8hr	P3CSK	PIC	0.209562638418991	3
8hr	P3CSK	PIC	0.342616869270895	4
8hr	P3CSK	PIC	0.502865568274557	5
8hr	P3CSK	PIC	0.0392831803003353	6
8hr	P3CSK	PIC	0.567341237410151	7
8hr	P3CSK	PIC	0.739366906649647	8
8hr	P3CSK	PIC	0.500103358566267	9
8hr	LPS	TNF	0.725589080957574	1
8hr	LPS	TNF	0.477156454819976	2
8hr	LPS	TNF	0.576073041382603	3
8hr	LPS	TNF	0.427367176822396	4
8hr	LPS	TNF	0.557815179020731	5
8hr	LPS	TNF	0.205072283423417	6
8hr	LPS	TNF	0.571700825872484	7
8hr	LPS	TNF	0.645287409274593	8
8hr	LPS	TNF	0.482346164486617	9
8hr	LPS	IFNb	0.846876445374692	1
8hr	LPS	IFNb	0.661449500913079	2
8hr	LPS	IFNb	0.857342569840295	3
8hr	LPS	IFNb	0.100724497184709	4
8hr	LPS	IFNb	0.0887497509374713	5
8hr	LPS	IFNb	0.101231071501643	6
8hr	LPS	IFNb	0.507805840275904	7
8hr	LPS	IFNb	0.712291166850865	8
8hr	LPS	IFNb	0.814942473507361	9
8hr	LPS	PIC	0.746006098959146	1
8hr	LPS	PIC	0.548191597258675	2
8hr	LPS	PIC	0.540532765771586	3
8hr	LPS	PIC	0.131396289572364	4
8hr	LPS	PIC	0.0870346182075138	5
8hr	LPS	PIC	0.133609916791906	6
8hr	LPS	PIC	0.0562034545074889	7
8hr	LPS	PIC	0.289318302623144	8
8hr	LPS	PIC	0.423600836582483	9
8hr	TNF	IFNb	0.322816184624698	1
8hr	TNF	IFNb	0.261788865740713	2
8hr	TNF	IFNb	0.385153630170526	3
8hr	TNF	IFNb	0.459081344785364	4
8hr	TNF	IFNb	0.545213445101965	5
8hr	TNF	IFNb	0.497270667364872	6
8hr	TNF	IFNb	0.882665465765652	7
8hr	TNF	IFNb	0.911274682983557	8
8hr	TNF	IFNb	0.849586214775323	9
8hr	TNF	PIC	0.0388208660532065	1
8hr	TNF	PIC	0.0495717775590795	2
8hr	TNF	PIC	0.0846924513124906	3
8hr	TNF	PIC	0.224672033869204	4
8hr	TNF	PIC	0.313355175280151	5
8hr	TNF	PIC	0.0685987519704017	6
8hr	TNF	PIC	0.449988176915729	7
8hr	TNF	PIC	0.537067740353729	8
8hr	TNF	PIC	0.375352686054824	9
8hr	IFNb	PIC	0.245388835293487	1
8hr	IFNb	PIC	0.129008042583377	2
8hr	IFNb	PIC	0.34771470249214	3
8hr	IFNb	PIC	0.112213809491604	4
8hr	IFNb	PIC	0.120049096514258	5
8hr	IFNb	PIC	0.415332246746778	6
8hr	IFNb	PIC	0.564662812024891	7
8hr	IFNb	PIC	0.668178785272514	8
8hr	IFNb	PIC	0.46888157888794	9
