TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
1.10.1650.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.1060.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
4.10.450.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.960.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.1230.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.570	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.58.1750	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.120.1340	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.1200.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.150.380	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.58.1210	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.645.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.3580.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.140.100	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.10.20.620	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.1740.100	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.10.20.500	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.3200.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.70.40.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
4.10.81.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.190.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.7700	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.30.250.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.60.120.1020	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
4.10.910.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.10180	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.25.40.240	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.10900	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.1120.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.140.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.287.190	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.1440.200	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.120.1880	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.960.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.60.15.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.10.440.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.70.420	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.770.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.20.25.190	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.25.40.840	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.30.30.870	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.50.1760	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.1240.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.287.1010	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.58.1470	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.1960.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.30.30.230	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.40.1580.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.120.150	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.930.12	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.40.250.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.3350.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.150.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.30.33.40	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.287.1090	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.970	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
2.60.34.20	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.90.310.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.140.90	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.110.30	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.950.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.20.120.1070	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.2010	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
1.10.10.2100	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.10.20.80	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.10.129.90	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
3.30.2280.10	-	1.00000000000423	4.2261333321747e-12	1	0	0	755	8819
